left_context,target_word,entropy_quartile,overlap_at_5,overlap_at_10,overlap_at_20,overlap_at_50,overlap_at_100,weighted_overlap_at_5,weighted_overlap_at_10,weighted_overlap_at_20,weighted_overlap_at_50,weighted_overlap_at_100
В тот момент,атмосфера,Q3,0.3,0.3,0.3,0.3,0.3,0.5625,0.5625,0.5625,0.5625,0.5625
Клиенты воровали из ресторана,атрибутику,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ему удалось вскрыть банку об острый край,бампера,Q1,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.625,0.6875,0.6875,0.6875,0.6875
У моего отца был счёт в швейцарском,банке,Q1,0.5,0.5,0.5,0.5,0.5,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523
Очень хочется заплести,бант,Q2,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999
В котёл бросают куски,баранины,Q1,0.2,0.2,0.2,0.2,0.2,0.8,0.8,0.8,0.8,0.8
На запись голоса,барса,Q4,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.1,0.1,0.12000000000000001,0.12000000000000001,0.12000000000000001,0.14,0.14
Ее сын Гриша умер,бездетным,Q1,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222
Можно будет,бросить,Q4,0.07894736842105263,0.07894736842105263,0.13157894736842105,0.23684210526315788,0.2631578947368421,0.13846153846153847,0.13846153846153847,0.16923076923076924,0.24615384615384617,0.26153846153846155
"Музыканты играли на похоронах, разгружали",вагоны,Q2,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.15789473684210525,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367
Дрозды и сковрцы начали,вить,Q2,0.25,0.25,0.25,0.25,0.25,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666
Что может сделать самый сильный,вол,Q1,0.19047619047619047,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7747747747747747,0.7927927927927928,0.7927927927927928,0.7927927927927928,0.7927927927927928
Здесь потребуется,врач,Q3,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
И не надо ставить это целью,всей,Q3,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.5588235294117647,0.5588235294117647,0.5588235294117647,0.5735294117647058,0.5735294117647058
Какие главные лекарства должны,входить,Q1,0.25,0.25,0.25,0.25,0.25,0.7540983606557377,0.7540983606557377,0.7540983606557377,0.7540983606557377,0.7540983606557377
Применение микросхемы,даст,Q2,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105
"Выходя замуж, ты надеялась обрести спокойствие, уютный",дом,Q1,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9358974358974359,0.9487179487179488,0.9487179487179488,0.9487179487179488,0.9487179487179488
С нескрываемой,едкой,Q1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6428571428571428,0.6428571428571428,0.6428571428571428,0.6428571428571428,0.6428571428571428
Однако здесь,есть,Q3,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.25,0.25,0.25,0.25,0.25
"Тому, кто",желает,Q4,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.21323529411764705,0.21323529411764705,0.21323529411764705,0.21323529411764705,0.21323529411764705
